,본전돼지국밥,수변최고돼지국밥,합천일류돼지국밥,영진돼지국밥,엄용백돼지국밥,합천국밥집,안목,60년전통 할매국밥,수라돼지국밥,쌍둥이돼지국밥
역세권,O,X,O,O,O,X,O,O,O,O
맑은 국물,O,X,O,X,O,O,X,O,X,X
뽀얀 국물,X,O,O,O,O,X,O,X,O,O
웨이팅 어플,X,O,X,X,X,X,O,X,X,X
주차장,X,O,O,O,X,X,X,O,X,O
미슐랭,X,X,X,X,X,O,O,X,X,X
싼 가격,X,X,X,X,X,X,X,O,X,O
고기양 많음,X,O,X,X,X,O,X,X,O,X
경성대부경대,X,X,X,X,X,X,O,X,O,O
광안리,X,O,X,X,O,X,X,X,X,X
사상,X,X,O,X,X,X,X,X,X,X
신평,X,X,X,O,X,X,X,X,X,X
수영,X,X,X,X,O,X,X,X,X,X
용호동,X,X,X,X,X,O,X,X,X,X
서면,X,X,X,X,X,X,X,O,X,X
부산역,O,X,X,X,X,X,X,X,X,X
라멘,,,,,,,O,,,
오소리감투,,,,,O,,,,,O
겉절이,O,,,,,,,,,
두부김치,,,,O,,,,,,
명란젓,,,,,O,,,,,
멍게김치,,,,,,O,,,,
항정국밥,,O,,,,,,,,
24시간,,O,O,,,,,,O,
한약 느낌,,,,,O,,,,,
마늘 빻기,,,,,,,O,,,
다이닝코드 1위,O,,,,,,,,,
우동,,,O,,,,,,,
