name,image_file,map_url,sns_url,rating,call,address,parking,opening_hours,menu,keywords,memo
본전돼지국밥,bonjeon.png,https://www.google.com/maps/place/%EB%B3%B8%EC%A0%84%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5/data=!3m1!4b1!4m6!3m5!1s0x3568ebd846a8a44d:0xabde6f1fb563f7ba!8m2!3d35.116595!4d129.0414111!16s%2Fg%2F1tcwp0cq?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,4.1,051-441-2946,부산광역시 동구 중앙대로214번길 3-8,,"AM 9:00~PM 8:00
PM 8:30 라스트오더","돼지국밥:10,000|순대국밥:10,000|내장국밥:10,000|내장,고기섞어국밥:10,000|수육|:30,000:(소)|:35,000:(중)|:40,000:(대)|수육백반:13,000",역세권|맑은 국물|부산역|겉절이|다이닝코드 1위,"· 배틀트립 21회
· 다이닝코드(맛집 빅데이터 사이트) 국밥 1위"
수변최고돼지국밥,subyeon.png,https://www.google.com/maps/place/%EC%88%98%EB%B3%80%EC%B5%9C%EA%B3%A0%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5+%EB%B3%B8%EC%A0%90/data=!4m10!1m2!2m1!1z7IiY67OA7LWc6rOg64-87KeA6rWt67Cl!3m6!1s0x356892b59d2067df:0x9b884b4768b21944!8m2!3d35.1567627!4d129.134279!15sChjsiJjrs4DstZzqs6Drj7zsp4Dqta3rsKVaHSIb7IiY67OAIOy1nOqzoCDrj7zsp4Ag6rWt67ClkgERa29yZWFuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjJlalZVU3pkblJSQULgAQD6AQUItAIQFw!16s%2Fg%2F1tgz3br8?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,http://www.xn--299amk01o1njbwar8ud2ne5g.kr/,4.4,051-754-9222,부산광역시 수영구 광안해변로370번길 9-32,가능,24시간 영업,"항정국밥:13,000|고기국밥:                           10,000|내장국밥:10,000|섞어국밥:10,000|순대고기국밥:10,000|순대만국밥:10,000|모듬국밥:10,000|어린이국밥(6세이하):5,000|[1일 3개 한정]성게폭탄국밥:50,000|수육백반|:12,000|:17,000:(특)|항정수백|:16,000|:22,000:(특)|수육|:30,000:(중)|:38,000:(대)|항정수육:40,000|순대|:15,000:(중)|:20,000:(대)",뽀얀국물|웨이팅 어플|주차장|고기양 많음|광안리|항정국밥|24시간,"· 단체 이용 가능
· 예약 가능
· 포장 가능
· 남/녀 화장실 구분
· 지하철로 가기엔 역과 거리가 상당히 멂"
합천일류돼지국밥,hapcheon_1.png,https://www.google.com/maps/place/%ED%95%A9%EC%B2%9C%EC%9D%BC%EB%A5%98%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5/data=!3m1!4b1!4m6!3m5!1s0x3568c1db8489e4ab:0xd342beeca0f5cc65!8m2!3d35.1622421!4d128.9801324!16s%2Fg%2F1tf_l5dl?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,4.1,051-317-2478,부산광역시 사상구 광장로 34,가능,24시간 영업,"고기국밥:10,000|돼지우동:11,000|섞어국밥:10,000|순대국밥:11,000|내장국밥:10,000|수육백반:13,000|순대백반:13,000|수육|:38,000:(소)|:45,000:(대)|모듬수육:45,000|수제순대:28,000",역세권|맑은 국물|뽀얀 국물|주차장|사상|24시간|우동국밥,"· VJ특공대 689회
· 마늘을 많이 넣어준다
· 웨이팅이 많지만 회전이 잘 되는 편"
영진돼지국밥,yeongjin.png,https://www.google.com/maps/place/%EC%98%81%EC%A7%84%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5+%EB%B3%B8%EC%A0%90/data=!4m10!1m2!2m1!1z7JiB7KeE64-87KeA6rWt67Cl!3m6!1s0x3568c294c4fc672b:0x6e47abe21d202094!8m2!3d35.0966354!4d128.9578812!15sChLsmIHsp4Trj7zsp4Dqta3rsKVaFiIU7JiB7KeEIOuPvOyngCDqta3rsKWSARlwb3JrX3JpY2Vfc291cF9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5LTlhRM05WUm5FQUXgAQD6AQQIGRAn!16s%2Fg%2F1td56hgk?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,4.5,050-71374-3820,부산광역시 사하구 하신번영로157번길 39,ⓟ 주차가능,"AM 9:30~PM 3:00
PM 5:00~9:30
일요일 휴무","돼지국밥:10,000|모듬국밥:10,000|순대국밥:10,000|섞어국밥:10,000|내장국밥:10,000|수육|:37,000:(소)|:48,000:(대)",역세권|뽀얀 국물|주차장|신평|두부김치,"· 건물 뒷편 전용주차장
· 서비스가 좋고 친절하다"
엄용백돼지국밥,eomyongback.png,https://www.google.com/maps/place/%EC%97%84%EC%9A%A9%EB%B0%B1%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5+%EB%B3%B8%EC%A0%90/data=!3m1!4b1!4m6!3m5!1s0x356892d6ba737695:0x633fbe22bf488e1d!8m2!3d35.1662326!4d129.1172499!16s%2Fg%2F11f5q014cg?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,https://www.instagram.com/umyongbaek_kr/,4.2,051-757-8092,부산광역시 수영구 수영로680번길 39,,"AM 11:30~PM
3:00 PM 5:00~9:30
주말 AM 11:00~PM 9:30","맑은 엄용백 돼지국밥:13,000|진한 엄용백 돼지국밥:13,000|부산식 돼지국밥(맑은국물):13,000|밀양식 돼지국밥(진한국물):13,000|돼지수육과 멜조림|:29,000:(중)|:39,000:(대)|냉수육과 간장국수:17,000|항정·가브리살 수육과 간장국수:18,000|오소리감투 수육:8,000|냉수육:30,000|명란젓:5,000",역세권|맑은 국물|뽀얀 국물|광안리|수영|오소리감투|명란젓|한약 느낌,"· 생방송오늘저녁 998회
· 국물이 한약재 느낌
· 명란젓을 국밥에 곁들여 먹음
· 근처 유료 주차장은 존재"
합천국밥집,hapcheon.png,https://www.google.com/maps/place/%ED%95%A9%EC%B2%9C%EA%B5%AD%EB%B0%A5%EC%A7%91/data=!3m1!4b1!4m6!3m5!1s0x3568ed359995007d:0x246e13ceda884bf8!8m2!3d35.111245!4d129.1112735!16s%2Fg%2F11g0mby4n0?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,4.2,051-628-4898,부산광역시 남구 용호로 235,,"AM 9:30~PM 2:00
PM 2:30~8:00","따로국밥:12,000섞어따로국밥:12,000|내장따로국밥:12,000|순대따로국밥:12,000|모듬따로국밥:12,000|수육백반:14,000|수육|:40,000:(소)|:45,000:(대)|모듬수육|:40,000:(소)|:45,000:(대)|순대|:30,000:(소)|:35,000:(대)",맑은 국물|미슐랭|용호동|멍게김치|고기양 많음,"· 미쉐린 가이드 부산 2025
· 식객허영만의백반기행 103회
· 김치에 멍게가 함께 들어가 있음"
안목,anmok.png,https://www.google.com/maps/place/%EC%95%88%EB%AA%A9+%EB%B3%B8%EC%A0%90/data=!3m1!4b1!4m6!3m5!1s0x3568ed49ea1c4a19:0x6236e503bcdaebb4!8m2!3d35.1449273!4d129.1107622!16s%2Fg%2F11q2t5mbwz?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,https://www.instagram.com/anmokbusan/#,4.5,050-71461-0523,부산광역시 수영구 광남로22번길 3,,"AM 11:00~PM 9:00
PM 8:30 라스트오더","돼지국밥:10,000|섞어국밥:10,500|머릿고기국밥:11,000|삼겹수육|:16,000:(소)|:32,000:(대)|맛보기수육(차가운):5,000|맛보기머릿고기수육(차가운):5,500|돼지라면:10,000",역세권|뽀얀 국물|웨이팅 어플|미슐랭|경성대부경대|라멘|마늘빻기,"· 미쉐린 가이드 부산 2025
· 무선 인터넷
· 유아 의자 구비
· 대기공간
· 키오스크로 주문
· 마늘을 빻아서 넣을 수 있다
· 모던하고 가게 분위기가 좋다"
60년전통 할매국밥,grandma.png,https://www.google.com/maps/place/60%EB%85%84%EC%A0%84%ED%86%B5+%ED%95%A0%EB%A7%A4%EA%B5%AD%EB%B0%A5/data=!3m1!4b1!4m6!3m5!1s0x3568eb9be8234d39:0x55451c7ce805a0d2!8m2!3d35.1410105!4d129.0561679!16s%2Fg%2F1hm5614rq?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,4.2,051-646-6295,부산광역시 동구 중앙대로533번길 4,가능,"AM 10:00~PM 7:00
PM 6:30 라스트오더
일요일 휴무","돼지국밥:8,000|내장국밥:8,000|따로국밥:8,000|고기국수:7,000|수육백반:10,000|수육|:13,000:(소)|:20,000:(중)|:30,000:(대)",역세권|맑은 국물|주차장|싼 가격|서면 ,"· 단체 이용 가능
· 갈비탕 느낌이 있다
· 조금 불친절하다는 평이 꽤 있다
· 가성비가 좋다"
수라돼지국밥,sura.png,https://www.google.com/maps/place/%EC%88%98%EB%9D%BC%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5/data=!4m10!1m2!2m1!1z7IiY652864-87KeA6rWt67Cl!3m6!1s0x3568ecf12202becd:0x58eb4205927036a6!8m2!3d35.1360893!4d129.0993841!15sChLsiJjrnbzrj7zsp4Dqta3rsKVaFiIU7IiY6528IOuPvOyngCDqta3rsKWSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11bwymmvb8?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,3.8,,부산광역시 남구 용소로8번길 21,불가능,24시간 영업,"돼지따로국밥:11,000|순대따로국밥:11,000|내장따로국밥:11,000|섞어따로국밥:11,000|해장돼지국밥:11,000|수육국밥:12,500|왕갈비탕:15,000|수육백반(2인):28,000|수육|:36,000:(소)|:42,000\:(중)|:48,000:(대)|모듬수육|:36,000:(소)|:42,000:(중)|:48,000:(대)|순대|:19,000:(소)|:22,000:(중)|왕만두(5개):6,500|순대버섯전골:-:현재X",역세권|뽀얀 국물|고기양 많음|경성대부경대,· 깍두기가 맛있다는 평이 있다
쌍둥이돼지국밥,twin.png,https://www.google.com/maps/place/%EC%8C%8D%EB%91%A5%EC%9D%B4%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5+%EB%B3%B8%EC%A0%90/data=!4m10!1m2!2m1!1z7IyN65Gl7J2064-87KeA6rWt67Cl!3m6!1s0x3568ecf55215cbc3:0x975d8d6b234d9fd5!8m2!3d35.1317784!4d129.0922355!15sChXsjI3rkaXsnbTrj7zsp4Dqta3rsKVaGSIX7IyN65Gl7J20IOuPvOyngCDqta3rsKWSARlwb3JrX3JpY2Vfc291cF9yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxU1lXVnFXakJXYVRCNlpFVjBWV1JHVWxoalNGa3hZbnBhVTJKdVl4QULgAQD6AQQIABAT!16s%2Fg%2F1tp0bkb3?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,http://twinsporksoup.com/,3.9,051-628-7021,부산광역시 남구 유엔평화로 35-1,가능,AM 9:00~PM 10:00,"돼지국밥:9,000|순대국밥:9,000|내장국밥:9,000|섞어국밥:9,000|수육백반:11,000|순대한접시(순대,오소리감투):7,000|돼지수육|:25,000:(소)|:30,000:(대)|모듬수육|:25,000:(소)|:30,000:(대)",역세권|뽀얀 국물|주차장|싼 가격|경성대부경대|오소리감투,"· 포장 가능
· 무선 인터넷
· 남/녀 화장실 구분
· 예약 가능
· 단체 이용 가능
· 불친절하다는 평이 존재한다"
